id,title,text,context_tweet,pred_cot,gpt_regionalisms,dict_regionalisms,has_regionalisms
352319,Coronavirus: la ONU pide reducir la población carcelaria para contener la pandemia,@usuario Ya empezaron a largar a algunos k... antes de saber de la.pandemia,Coronavirus: la ONU pide reducir la población carcelaria para contener la pandemia https://t.co/9vZC0NGQwN,"La expresión ""k"" usada en el texto es un término regional en Argentina que se refiere a los seguidores o simpatizantes del kirchnerismo, un movimiento político argentino liderado por Néstor Kirchner y Cristina Fernández de Kirchner. Por lo tanto, la respuesta final es sí.",['k'],[],True
396999,Una nena wichi de dos años murió por desnutrición en Salta,@usuario No puede ser si el titere dice quecen argentina no hay hambre con los k,Una nena wichi de dos años murió por desnutrición en Salta https://t.co/xemWPmsg9J,"respuesta: La expresión ""cen argentina"" es una forma coloquial y regional de referirse a la situación de hambre en Argentina durante el gobierno de los Kirchner. La respuesta final es sí.",['cen argentina'],[],True
354892,"""Tucán redimido"": El duro descalificativo de Maximiliano Guerra hacia Florencia Kirchner","@usuario Los que se enojan porque le dicen ""tucan"" a Flor K son los mismos que le dicen ""gato"" a Macri, ""cerda"" a Carrió y ""gorilas"" a los que no piensan como ellos. 
Tenemos una incoherencia zoológica dando vueltas. (NMondeo)","""Tucán redimido"": El duro descalificativo de Maximiliano Guerra hacia Florencia Kirchner https://t.co/LMnHQGYAkK https://t.co/BPd4d6tMJ9","respuesta: La expresión ""tucán"" como descalificativo para referirse a Florencia Kirchner es un término regional en Argentina. La respuesta final es sí.",['tucan'],"['dar', 'gato', 'gorila', 'macri', 'tucan']",True
387341,"Ivana Nadal se cansó de que la criticaran y sorprendió con su respuesta: ""Gracias a Dios a fin de año me voy del país""","@usuario Y bueno que se vaya. Que se baje del poni.
Es una persona común y corriente.",Ivana Nadal se cansó de la criticaran y sorprendió con su respuesta: “Gracias a Dios a fin de año me voy del país” https://t.co/ejHs0hGFwg,"respuesta: La expresión ""que se baje del poni"" es un regionalismo de Argentina que significa que la persona debe dejar de creerse superior o especial. La respuesta final es sí.",['que se baje del poni'],['poni'],True
330538,"Desopilante respuesta de More Rial cuando le preguntaron de qué trabaja: ""Me la rasco...""",@usuario Paso imbancable,"😂[QUIEN PUDIERA]😂 Desopilante respuesta de More Rial cuando le preguntaron de qué trabaja: ""Me la rasco..."" &gt;&gt;&gt; En medio de una transmisión de Instagram reveló cuáles son sus hábitos laborales y sorprendió a todos sus seguidores. ¡Mirá!

https://t.co/0KWlc9ecBm","La expresión ""Paso imbancable"" es de carácter regional en Argentina y se refiere a algo que es insoportable o intolerable. La respuesta final es sí.",['paso imbancable'],[],True
344973,"""El pico del coronavirus se está ralentizando"", dijo Ginés González García",@usuario Listo cagamos estamos todos contagiados con covid-19 !!,"""El pico del coronavirus se está ralentizando"", dijo Ginés González García https://t.co/SNfXXt6VqS https://t.co/TudlVxVp8O","La expresión ""Listo cagamos"" es una expresión coloquial común en Argentina para expresar preocupación o resignación frente a una situación negativa. Por lo tanto, la respuesta final es sí, existe una expresión regional en el texto.",['listo cagamos'],['cagar'],True
366781,"El mensaje privado que Raúl Rizzo les envió a otros actores por Luis Brandoni: ""Que quede solo""","@usuario Pobre actorzuelo de telenovelas de bajo presupuesto. Como todo mediocre, sin recursos mentales para debatir hace lo único que saben hacer estos personajes, ladrar y tratar de hacer daño. Patético!",El mensaje privado que Raúl Rizzo les envió a otros actores por Luis Brandoni: “Tenemos que diferenciarnos de él y que quede solo” https://t.co/QDlfsmsbWV,"La expresión ""actorzuelo"" en el texto es un término regional en Argentina usado de manera despectiva para referirse a un actor de poco talento. La respuesta final es sí.",['actorzuelo'],[],True
379385,"Las organizaciones sociales salieron al cruce de la acusación de Sergio Berni por la toma de tierras: ""La falta de vivienda no se resuelve con balas""",@usuario Manzana,Las organizaciones sociales salieron al cruce de la acusación de Sergio Berni por la toma de tierras: “La falta de vivienda no se resuelve con balas” https://t.co/w0cDK2BIfI,"La palabra ""manzana"" no es una expresión regional del español de Argentina, por lo tanto la respuesta final es no.",[],['manzana'],True
379442,"La historia de una familia de cartoneros en la toma de Guernica: ""Por primera vez sentimos que tenemos un hogar""",@usuario Andate a cagar clarin,"La historia de una familia de cartoneros en la toma de Guernica: ""Por primera vez sentimos que tenemos un hogar"" https://t.co/Jt0TMKAXYz","respuesta: La expresión ""Andate a cagar"" es un término regional en Argentina utilizado como una expresión vulgar para mandar a alguien lejos o expresar enfado. La respuesta final es sí.",['andate a cagar'],['cagar'],True
349743,"Graciana Peñafort: ""La marcha me dio mucha pena y tuvo un nivel de convocatoria menor al esperado""",@usuario Y a quien le.kmpoeta la opinión de esta mujer. Par que le dan entidad infobae ? Buscan confrontar todo el tiempo.,Graciana Peñafort: “La marcha me dio mucha pena y tuvo un nivel de convocatoria menor al esperado” https://t.co/sPiBqGmFIg,"respuesta: La expresión ""le.kmpoeta"" es un término regional y coloquial en Argentina que se utiliza para expresar desinterés o falta de importancia hacia algo o alguien. La respuesta final es sí.",['le.kmpoeta'],['dar'],True
