id,context_tweet,text,JM,Vivi,Pau,Notas_JM,Notas_Vivi,Notas_Pau
339709,Coronavirus: un diario inglés asegura que los mercados chinos siguen vendiendo murciélagos y carne de animales domésticos https://t.co/qFPs4aHf6D,@usuario Que gente de mierda .,0,0,0,,mierda,
395003,"Murió el periodista Mario Pereyra, ícono de la radio de Córdoba https://t.co/MZtxmqFP4o",@usuario Cuánto zurdito resentido en los comentarios...,1,1,1,,zurdito,zurdito
381327,"""Se terminó, a salir a la calle”: detuvieron a un hombre que se grabó llamando a romper la cuarentena obligatoria https://t.co/VCK2uezc9p",@usuario Flor de imbécil,1,1,1,,flor de,flor de
371979,El polémico mensaje de Cinthia Fernández sobre la muerte de un delincuente en un intento de robo https://t.co/odv7PghHxL,@usuario Y que tiene tiene de polémico???,0,0,0,,,
342998,Coronavirus: China anunció que no registró ningún caso nuevo local https://t.co/bg8d1fSwBX https://t.co/M47osbSpVL,@usuario Chinos de mierda q se maten todos,0,0,0,,"inconsistente con el 1ro por mierda""",
360287,El divertido pedido de Jimena Barón a Alberto Fernández por la falta de intimidad en cuarentena https://t.co/6e8rPmXrVd,@usuario Llevaba 5 días sin reírme. Ahora van 6..,0,0,0,,"no es regionalismo, pero tiene informacion regional (en este caso no importa porque no es hate speech)",
407017,"El tamaño, ¿importa?: cómo medirlo y consejos para una penetración más placentera | Por Cecilia Ce https://t.co/6MNdfYk5LI","@usuario Por supuesto que el tamaño NO IMPORTA,,,,,TENERLA CHICA NO CUENTA Y NO IMPORTA😂😂😂😂😂😂😂😂",1,0,0,"""tenerla chica""",,
407369,¿Se puede ser feminista y llorar a Diego Maradona? https://t.co/cdAPQ8PuEL https://t.co/VggCrUXUaZ,@usuario Ustedes son una mierda,0,0,0,,"no es regionalismo, pero tiene informacion regional (en este caso no importa porque no es hate speech)",
334492,🔴 AHORA | El Gobierno habilitó el arribo de más de 200 médicos cubanos para atender el pico de la pandemia https://t.co/MNHYfDb7e0 https://t.co/qLtyXPknXb,@usuario No hay médicos en Argentina? O tenemos que recibir espías agitadores e médicos inútiles como los cubanos?,0,0,0,,,
386305,El Gobierno respaldó el proyecto para que el Estado se quede con acciones de las empresas a las que ayuda durante la pandemia https://t.co/78kq4nG3On,"@usuario El Gobierno respaldó la propuesta del Estado?????. . . no son lo mismo, sobre todo en época de peronismo????. . . No se les cae otra idea que no sea quedarse con lo que no les pertenece?????. . . tantos eruditos y mba de Harvard y no tiran un centro como la gente????",1,0,0,"""tirar un centro""","no es regionalismo, pero tiene informacion regional (en este caso no importa porque no es hate speech)",
368291,Tres extranjeros incumplían la cuarentena total y agredieron a los policías que quisieron identificarlos https://t.co/r40lhweP5P,"@usuario Deportación, 3 problemas menos.",0,0,0,,,
342025,Efecto coronavirus: ¿ahora la grieta es entre Alberto Fernández y Cristina Kirchner? https://t.co/wM6sIQRMZ6,@usuario La grieta es lo q publica Clarín versus la veracidad!!!,1,1,1,"""la grieta""",ademas tiene informacion regional (en este caso no importa porque no es hate speech),grieta
398513,En Salta mandaron a un abusador a la casa porque se llovía su calabozo: vive al lado de la nena que atacó https://t.co/vHITnb3yzt,@usuario @usuario Basura,0,0,0,,,
