id,context_tweet,text,LGBTI,PRED_LGBTI_gpt,PRED_LGBTI_beto,PRED_LGBTI_mixtral,pred_cot_gpt,pred_cot_mixtral
398914,Mara Gómez: la historia de la primera futbolista trans en el torneo argentino https://t.co/rBx3pMPUbB https://t.co/l5I1j0xFku,"@usuario Ponga huevos, Mara ponga huevos...",True,1,0,1,"El texto alienta a Mara Gómez como futbolista, pero utiliza la expresión ""ponga huevos"" de manera discriminatoria, con el objetivo de cuestionar su masculinidad y su identidad de género como mujer trans. La respuesta final es ""lgbti"".","El texto alude a la falta de ""huevos"" de Mara Gómez, un término que se utiliza para referirse a la falta de coraje o valentía. Esto es ofensivo y despectivo. La respuesta final es ""mujer, lgbti""."
379516,“¿Por qué no vemos médicos trans?”: el reclamo de un prestigioso cardiólogo para que América sea más inclusiva | Por Valeria Román https://t.co/19put40QqT,@usuario Esa manía de meter en todo la ideología de género. Es más importante ser un profesional competente.,False,1,0,1,"El texto muestra resistencia a la inclusión de médicos trans en la profesión, minimizando la importancia de la identidad de género. Aunque no contiene un discurso de odio directo, sí demuestra una actitud discriminatoria y de rechazo hacia las personas trans. La respuesta final es ""lgbti"".","El texto critica la inclusión de personas trans en el ámbito profesional, sugiriendo que la identidad de género es una ""manía"" y que lo importante es ser un profesional competente. La respuesta final es ""lgbti""."
359574,Polémica en las redes por el actor que personificó a Manuel Belgrano y habló en lenguaje inclusivo https://t.co/zp904FUkPj,@usuario Vergüenza y sinverguenzas los que hicieron eso. Los funcionarios que lo permitieron debieran renunciar,False,0,0,1,"El texto muestra desagrado hacia el uso del lenguaje inclusivo, pero no contiene un discurso de odio hacia una característica protegida. La respuesta final es ""nada"".","El texto critica el uso del lenguaje inclusivo y lo considera una vergüenza. Esto puede ser interpretado como un ataque a la comunidad LGBTQ+. La respuesta final es ""lgbti""."
379506,“¿Por qué no vemos médicos trans?”: el reclamo de un prestigioso cardiólogo para que América sea más inclusiva | Por Valeria Román https://t.co/19put40QqT,@usuario Y Porque los travas no estudian medicina,True,1,1,1,"El texto utiliza un término peyorativo y despectivo como ""travas"" para referirse a las personas trans, lo cual es discriminatorio. Por lo tanto, la respuesta final es ""lgbti"".","El texto muestra un prejuicio hacia las personas trans, sugiriendo que no pueden o no quieren estudiar medicina. La respuesta final es ""lgbti""."
396723,"""Te amo "". La emotiva dedicatoria de Luis Novaresio a su pareja en su cumpleaños https://t.co/Hh63kaVA5U https://t.co/vNaUBjBkzx",@usuario Asco dan.,True,0,0,1,"El texto no menciona ninguna característica protegida ni contiene discurso de odio. La respuesta final es ""nada"".","El texto muestra un rechazo hacia la homosexualidad de Luis Novaresio y su pareja. La respuesta final es ""lgbti""."
405367,Tras una ráfaga de más de 20 disparos asesinaron a una mujer trans en Rosario https://t.co/M0K3NXgfA8,"@usuario No es una mujer,es un hombre",True,1,1,1,"El texto niega la identidad de género de la mujer trans asesinada, negando su identidad como mujer. La respuesta final es ""lgbti"".","El texto niega la identidad de género de la mujer trans asesinada. La respuesta final es ""lgbti""."
395336,"El exabrupto de Jair Bolsonaro sobre Brasil y el Covid-19: ""Tienen que dejar de ser un país de maricas"" https://t.co/WtxRjY7tJp",@usuario Um pais de frangos 😂,False,0,0,1,"El texto responde con un emoji de risa al comentario despectivo de Bolsonaro, sin mostrar solidaridad con la comunidad LGBTQ+. Sin embargo, no contiene discurso de odio. La respuesta final es ""nada"".","El texto se refiere a Brasil como ""um pais de frangos"", que es una expresión despectiva que significa ""un país de cobardes"". Aunque no es un insulto específico hacia la comunidad LGBTQ+, la expresión ""maricas"" en el contexto del tweet original es un insulto hacia la comunidad LGBTQ+. La respuesta final es ""lgbti""."
397504,Así luce el actor Elliot Page tras declararse trans https://t.co/yeTGhw6ooT,@usuario Ahora es un potencial violador no?,False,1,0,1,"El texto cuestiona la identidad de género de Elliot Page al sugerir que, por ser transgénero, podría convertirse en un violador. Esto implica un prejuicio hacia las personas trans y una asociación negativa con la violencia. La respuesta final es ""lgbti, nada"".","El texto asocia la identidad de género de Elliot Page con la posibilidad de que sea un violador. Esto es una forma de transfobia. La respuesta final es ""lgbti""."
379527,“¿Por qué no vemos médicos trans?”: el reclamo de un prestigioso cardiólogo para que América sea más inclusiva | Por Valeria Román https://t.co/19put40QqT,"@usuario Cuando te pasas por la vida disfrazado de lo que no sos y con una imagen mental ajena a la tuya, entras a la medichgna, pero con una camisa de fuerza.
Ahora hay que darle un titulo universitario por andar disfrazado y no por estudiar?
Paren un poco con la bocha.",True,1,1,1,"El texto contiene una clara discriminación hacia las personas trans, al referirse a ellos como ""disfrazados"" y cuestionar su formación académica. Además, utiliza un tono irónico y despectivo. La respuesta final es ""lgbti"".","El texto muestra un rechazo hacia las personas trans, al cuestionar su identidad de género y su derecho a ser reconocidos como profesionales. La respuesta final es ""lgbti""."
379485,El PAMI tendrá que pagar una cirugía para agrandar los pechos de una afiliada autopercibida mujer | Por Patricia Blanco https://t.co/IObp8ZBnxq,@usuario Prioridades,False,0,0,1,"El texto implica que la cirugía de aumento de pechos es una prioridad cuestionable para el PAMI. Aunque puede interpretarse como una crítica a la asignación de recursos, no contiene discurso de odio hacia ninguna característica protegida. La respuesta final es ""nada"".","El texto muestra un desprecio hacia la identidad de género de la persona y hacia la decisión de la institución de cubrir los gastos de la cirugía. La respuesta final es ""lgbti""."
