id,context_tweet,text,RACISM,PRED_RACISM_gpt,PRED_RACISM_beto,PRED_RACISM_mixtral,pred_cot_gpt,pred_cot_mixtral
407561,"Alberto Fernández: ""Es imperdonable que haya indocumentados en Argentina "" https://t.co/DDrigPlNxZ https://t.co/r6BquV2RBu","@usuario Vergonzoso es lo que dice este sr. Los planeros paraguayos, bolivianos, peruanos como cobran el IFE, cobran jubilaciones,  votan en Argentina ??? No me diga que NO sabe...👎🤦💩🤡",True,1,1,1,"El texto contiene discriminación hacia personas provenientes de Paraguay, Bolivia y Perú, al llamarlos ""planeros"" y cuestionar su derecho a cobrar el IFE, jubilaciones y votar en Argentina. Esto es una clara manifestación de xenofobia y racismo. La respuesta final es ""racismo"".","El texto muestra un desprecio hacia los inmigrantes indocumentados, sugiriendo que son una carga para el Estado y que no merecen los mismos derechos que los ciudadanos argentinos. La respuesta final es ""racismo""."
364664,"Alertan por un nuevo virus en China con potencial de pandemia
#LoTienenLosCerdos #SimilarALaGripePorcina #PeroPeor #ParáUnPoco2020 #UnaPandemiaEsDemasiado #DosNoSeAguantan #ChinaLoHizoDeNuevo #YAhoraQué? #EstamosPerdirijillos
@BAENegocios 
https://t.co/MPnK6oXB5A",@usuario @usuario Vamos a quemar china para que esto no vuelva a pasar!,True,1,1,1,"El texto incita a quemar China como represalia por la situación del virus, lo cual promueve la violencia y el odio hacia un país entero. Dado que se refiere a una nacionalidad específica, la respuesta final es ""racismo"".","El texto muestra un deseo de destrucción hacia China, como respuesta a la aparición de un nuevo virus. Esto es un ejemplo de racismo. La respuesta final es ""racismo""."
354150,Alarma en China: más de 3000 personas se enfermaron tras la fuga de una bacteria https://t.co/hwnlVfqRyV https://t.co/hZTIJRUpSv,@usuario La info es del 2019 igual estan re pasados los chinos,False,0,0,1,"El texto no contiene discurso de odio. Aunque hace referencia a los chinos de manera despectiva, no lo hace en un tono intenso ni irracional de rechazo, enemistad o aborrecimiento basado en una característica protegida. La respuesta final es ""nada"".","El texto muestra un desprecio hacia los chinos, refiriéndose a ellos como ""re pasados"". La respuesta final es ""racismo""."
392797,"Un estudio dice que el COVID-19 ya circulaba en Italia en septiembre de 2019, mucho antes de que China reconociera la existencia del virus https://t.co/gy6A7pI5jv",@usuario 😂 Que bien que se la hicieron ahora la culpa de todo la van a tener los Tanos. Vamos que China nos vacuna a todes (seames inclusives per feveres).,False,0,0,1,"El texto contiene humor sarcástico y una especie de ironía sobre la situación del COVID-19. A pesar de mencionar a los italianos de manera despectiva (""Tanos""), no se observa discurso de odio hacia ninguna característica protegida. La respuesta final es ""nada"".","El texto se refiere a los italianos como ""Tanos"" y celebra que ahora se les atribuya la culpa del COVID-19. La palabra ""Tanos"" es despectiva y racista. La respuesta final es ""racismo""."
404356,Británica llegó a Perú por 10 días y se quedó por amor: vive sin agua potable y entre insectos #AMiNoMeImportaElDinero #TengoLoQueYoMásQuieroAMiLado #ElAmorLeGanaATodo? #ConocéLaHistoria!!! https://t.co/1AvKrD7OJb,@usuario Enfermos mentales los hay de todas las nacionalidades. De hecho aca incluso son gobierno con la equina y el mitómano indigno encabezando el poder ejecutivo,False,1,0,0,"El texto hace referencia a la nacionalidad de una persona de manera despectiva, comparándola con el gobierno argentino y utilizando términos como ""enfermos mentales"" para insultar. Si bien no se dirige específicamente a ninguna característica protegida, la generalización y el tono despectivo hacia una nacionalidad particular pueden considerarse racistas. La respuesta final es ""racismo""","El texto se refiere a los líderes políticos de Argentina como ""enfermos mentales"" y los acusa de ser ""mitómanos"". Aunque no se refiere a una característica protegida, el texto es ofensivo y despectivo. La respuesta final es ""nada""."
341886,Coronavirus en Argentina: denuncian que miles de paraguayos cruzan la frontera para cobrar el IFE en Formosa https://t.co/bcssvEmFtO,"@usuario Jajaja cornetita operando
Mas viejo que mirtha",False,0,0,1,"El texto se refiere de manera despectiva a los ciudadanos paraguayos como ""cornetita"" y hace una mención de edad hacia una persona mayor. A pesar de los comentarios despectivos, no se hace ninguna referencia a una característica protegida de las mencionadas. La respuesta final es ""nada"".","El texto se refiere a los paraguayos como ""cornetitas"", un término despectivo que se utiliza para referirse a los inmigrantes de ese país. La respuesta final es ""racismo""."
347445,"Macabro hallazgo en China: 4.000 perros, gatos y otros animales muertos dentro de cajas en un depósito https://t.co/rUeDlGGdhj",@usuario Que hdp🤦,True,0,0,0,"El texto expresa desagrado hacia la acción de matar animales para consumo humano, pero no contiene discurso de odio hacia ninguna característica protegida. La respuesta final es ""nada"".",El texto no hace referencia a ninguna característica protegida. La respuesta final es 'nada'.
363158,La pregunta billonaria: ¿China debería pagar el costo de la pandemia? https://t.co/Ld5Ri2LxNj https://t.co/b1lFCr1BqZ,@usuario Ese murciélago si salió caro.,False,1,0,1,"El texto hace referencia de manera despectiva a un estereotipo sobre los hábitos alimenticios en China, que ha sido una de las teorías que han provocado odio y discriminación hacia la población china a raíz del COVID-19. Por lo tanto, la respuesta final es ""racismo"".","El texto se refiere a China como un murciélago, lo que implica una generalización racista hacia los chinos. La respuesta final es 'racismo'."
403678,Tensión en Villa Mascardi: mapuches resisten el desalojo de un predio usurpado https://t.co/8X6nnuOh21,@usuario Balas de plomo hay que darles a esos delincuentes. A mi se me ocurre q esta tierra mia y la usurpo.. encima violentos.,True,1,1,1,"El texto incita a la violencia contra los mapuches, llamándolos delincuentes y sugiriendo el uso de balas de plomo. Además, denigra su reclamo por la tierra al referirse a la misma como ""esta tierra mía"". La respuesta final es ""racismo"".","El texto se refiere a los mapuches como delincuentes y violentos, y sugiere que deberían ser atacados con balas de plomo. Esto es un discurso de odio hacia los pueblos aborígenes. La respuesta final es ""racismo""."
404354,Británica llegó a Perú por 10 días y se quedó por amor: vive sin agua potable y entre insectos #AMiNoMeImportaElDinero #TengoLoQueYoMásQuieroAMiLado #ElAmorLeGanaATodo? #ConocéLaHistoria!!! https://t.co/1AvKrD7OJb,@usuario La gaver del peruano. Mamá.,False,1,0,1,"El texto contiene un comentario despectivo hacia los peruanos, utilizando un término vulgar y discriminatorio. La respuesta final es ""racismo"".","El texto se refiere a los peruanos como ""gaver"", un término despectivo. La respuesta final es ""racismo""."
